Pole Number,Number of Locations,Location 1,Location 2,Location 3,Action Needed
LAW.P.B789,2,57 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,103 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B791,2,105 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,49 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B794,2,41 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,45 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B795,2,45 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,39 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B796,2,45 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,37 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B802,2,21 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,17 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B807,3,9 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,79 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B810,2,30 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,28 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B811,2,30 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,23 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B818,2,16 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,14 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B819,2,12 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,12 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B820,2,8 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,10 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B821,4,6 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B822,3,2 TWANANANE CRESCENT LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,4 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,2 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B823,2,23 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,22 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B824,2,17 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,20 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B825,4,15 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,14 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,16 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B828,3,8 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,5 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B829,2,3 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,1 ZITHA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B831,2,61 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,63 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B835,2,16 CYNTHIA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,18 CYNTHIA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B837,2,14 CYNTHIA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,12 CYNTHIA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B839,3,9 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,11 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,10 CYNTHIA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B844,4,31 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,82 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,3676 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B848,3,87 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,85 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,74 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B849,3,81 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,70 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,68 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B850,2,79 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,66 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B851,2,64 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,77 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B852,3,71 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,60 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,73 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B855,3,39 MOTSHWARATEY STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,35 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,42 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B856,2,44 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,31 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B859,2,36 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,34 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B863,3,26 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,24 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,28 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B865,3,18 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,12 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,9 MOTSHWARATEY STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B867,3,7 MOTSHWARATEY STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,10 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B869,2,4 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,6 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B870,2,45 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,27 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B872,2,23 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,21 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B875,3,35 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,37 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,33 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B876,2,27 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,29 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B879,2,21 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,25 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B880,2,18 MANYATHELA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,16 MANYATHELA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B882,3,11 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,13 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,17 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B883,2,10 MANYATHELA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8 MANYATHELA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B884,3,24 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,6 MANYATHELA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,26 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B885,2,28 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,5 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B890,2,35 MANYATHELA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,30 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B891,3,34 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,36 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,32 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B892,2,30 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,27 MANYATHELA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B895,3,18 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,20 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,17 MANYATHELA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B898,2,10 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7 MANYATHELA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B900,2,18 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,3 MANYATHELA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B901,2,4 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,2 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B905,3,8 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,19 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,6 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B906,2,10 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,23 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B907,2,14 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,27 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B908,3,29 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,16 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,31 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B909,2,33 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,20 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B910,2,35 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,22 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B911,3,26 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,39 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,24 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B913,3,32 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,47 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,45 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B916,2,50 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,51 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B917,3,48 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,50 AMALUNGELO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,40 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B919,2,57 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,44 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B920,3,59 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,48 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,61 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B921,2,50 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,63 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B922,3,52 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,54 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,65 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B923,3,54 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,69 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,67 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B962,2,4 CHICCO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,2 CHICCO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B964,2,6 CHICCO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,8 CHICCO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B968,2,18 CHICCO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,27 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B972,2,36 CHICCO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,15 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B977,3,1 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,7 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,3 BAHOLA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B978,3,3 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,1 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,42 CHICCO STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.B982,2,3 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,5 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B985,2,15 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,17 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B986,2,12 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,19 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.B988,2,25 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,27 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C024,2,77 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,1 SIYABONGA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C042,2,2 DLAMINI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,52 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C043,2,52 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,4 DLAMINI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C045,2,3 CYNTHIA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,58 MIYELANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C047,2,15 CYNTHIA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,10 DLAMINI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C052,2,30 DLAMINI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,28 DLAMINI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C053,2,36 DLAMINI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,3591 DLAMINI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C056,3,39 CYNTHIA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,55 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,40 DLAMINI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C057,3,3599 CYNTHIA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,41 CYNTHIA STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,57 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C058,3,42 DLAMINI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,53 LULAMISANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,40 DLAMINI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C088,2,9 DLAMINI STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,16 MOTSHWARATEY STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,,Verify correct location
LAW.P.C092,3,20 MOTSHWARATEY STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,22 MOTSHWARATEY STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,26 MOTSHWARATEY STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C095,3,32 MOTSHWARATEY STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,34 MOTSHWARATEY STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,36 MOTSHWARATEY STREET LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,Verify correct location
LAW.P.C100,4,7352 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,50 LESEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,89 MATHE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C101,4,7348 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,57 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,55A AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C103,3,42 LESEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,51 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,7355 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C104,5,40 LESEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,38 LESEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,47 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C105,2,36 LESEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,45 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.C106,4,42 REFILWE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,40 REFILWE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,7359 SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C107,2,42 REFILWE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.379698652558936, 27.812410255939174]",,Verify correct location
LAW.P.C112,3,41 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37939078076126, 27.812341648808836]",30 LESEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C113,2,30 LESEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,39 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.C114,3,7164 SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,37 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,39 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C118,3,27 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,7158 SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,29 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C119,3,27 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,7167 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,25 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C120,2,7167 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,25 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.C121,4,21 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.378116362572808, 27.81209828461392]",14 LESEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C122,3,10 LESEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,12 LESEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,17 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C124,2,"KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.381474421293476, 27.81300019443119]",52 LESEDI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.C125,2,100 MATHE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,33 KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.C126,4,96 MATHE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,98 MATHE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,31 KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C127,2,29 KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,"KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.38138873374762, 27.813519499308285]",,Verify correct location
LAW.P.C128,4,25 KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,94 MATHE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,27 KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.C129,4,"UNNAMED LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB [-26.3813061114016, 27.81400360846985]",23 KUNENE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,90 MATHE STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
